"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60000000000E+009, +4.97465922779E-002, -3.47776544652E-003
+4.60002000200E+009, +4.96871333110E-002, -3.82407629008E-003
+4.60004000400E+009, +4.97862824731E-002, -4.23390070333E-003
+4.60006000600E+009, +4.96526771167E-002, -4.56335704865E-003
+4.60008000800E+009, +4.96675075840E-002, -5.03601952687E-003
+4.60010001000E+009, +4.95946562957E-002, -5.27137944383E-003
+4.60012001200E+009, +4.96634441833E-002, -5.65609425636E-003
+4.60014001400E+009, +4.95432872747E-002, -6.02446113657E-003
+4.60016001600E+009, +4.95530509917E-002, -6.26755870727E-003
+4.60018001800E+009, +4.94532668788E-002, -6.79886707081E-003
+4.60020002000E+009, +4.94212560133E-002, -7.06942054958E-003
+4.60022002200E+009, +4.93816517437E-002, -7.43374641797E-003
+4.60024002400E+009, +4.93287582632E-002, -7.80414930830E-003
+4.60026002600E+009, +4.92739845910E-002, -8.10502361371E-003
+4.60028002800E+009, +4.92053722015E-002, -8.51948001884E-003
+4.60030003000E+009, +4.91324859094E-002, -8.89553297901E-003
+4.60032003200E+009, +4.90238241677E-002, -9.24185839398E-003
+4.60034003400E+009, +4.89903901450E-002, -9.57956731947E-003
+4.60036003600E+009, +4.89400149050E-002, -9.85902077448E-003
+4.60038003800E+009, +4.88936371464E-002, -1.02017863420E-002
+4.60040004000E+009, +4.86959139498E-002, -1.05764110398E-002
+4.60042004200E+009, +4.86436275003E-002, -1.10004479564E-002
+4.60044004400E+009, +4.86246597466E-002, -1.13290949634E-002
+4.60046004600E+009, +4.85831304850E-002, -1.16731304867E-002
+4.60048004800E+009, +4.84382348878E-002, -1.20460947241E-002
+4.60050005001E+009, +4.83404697850E-002, -1.23802522677E-002
+4.60052005201E+009, +4.83881132987E-002, -1.27525686763E-002
+4.60054005401E+009, +4.82204757434E-002, -1.30703379261E-002
+4.60056005601E+009, +4.81916555954E-002, -1.33691044031E-002
+4.60058005801E+009, +4.80293068298E-002, -1.38013318604E-002
+4.60060006001E+009, +4.79065335652E-002, -1.41595649314E-002
+4.60062006201E+009, +4.77826374795E-002, -1.44928799835E-002
+4.60064006401E+009, +4.77388401531E-002, -1.46960467798E-002
+4.60066006601E+009, +4.76484490769E-002, -1.51617329454E-002
+4.60068006801E+009, +4.74947437090E-002, -1.55208755680E-002
+4.60070007001E+009, +4.73140698904E-002, -1.58574212396E-002
+4.60072007201E+009, +4.72425791369E-002, -1.61432349738E-002
+4.60074007401E+009, +4.71110082507E-002, -1.65613220324E-002
+4.60076007601E+009, +4.68987018108E-002, -1.69357302876E-002
+4.60078007801E+009, +4.68843112741E-002, -1.71634225709E-002
+4.60080008001E+009, +4.67713386849E-002, -1.75010647762E-002
+4.60082008201E+009, +4.66519649956E-002, -1.79243638754E-002
+4.60084008401E+009, +4.65518878683E-002, -1.82259096128E-002
+4.60086008601E+009, +4.63911163862E-002, -1.85588862311E-002
+4.60088008801E+009, +4.62281339982E-002, -1.88512333857E-002
+4.60090009001E+009, +4.60160836610E-002, -1.92494566190E-002
+4.60092009201E+009, +4.60112794508E-002, -1.95433053354E-002
+4.60094009401E+009, +4.58863737832E-002, -1.98765623491E-002
+4.60096009601E+009, +4.56947411099E-002, -2.02286947924E-002
+4.60098009801E+009, +4.54991775876E-002, -2.05001027262E-002
+4.60100010001E+009, +4.53709094055E-002, -2.08454831121E-002
+4.60102010201E+009, +4.51360608988E-002, -2.11930471975E-002
+4.60104010401E+009, +4.51252913866E-002, -2.15431029521E-002
+4.60106010601E+009, +4.49216234837E-002, -2.17828362017E-002
+4.60108010801E+009, +4.48014957145E-002, -2.21753125381E-002
